"Category","All India"
"01-01-2023 : 1",141189
"01-01-2023 : 2",140767
"01-01-2023 : 3",140020
"01-01-2023 : 4",139344
"01-01-2023 : 5",138216
"01-01-2023 : 6",137326
"01-01-2023 : 7",136291
"01-01-2023 : 8",136328
"01-01-2023 : 9",135243
"01-01-2023 : 10",133957
"01-01-2023 : 11",133389
"01-01-2023 : 12",133139
"01-01-2023 : 13",133407
"01-01-2023 : 14",133031
"01-01-2023 : 15",133214
"01-01-2023 : 16",133058
"01-01-2023 : 17",133299
"01-01-2023 : 18",134388
"01-01-2023 : 19",136207
"01-01-2023 : 20",138458
"01-01-2023 : 21",140171
"01-01-2023 : 22",143796
"01-01-2023 : 23",147322
"01-01-2023 : 24",150209
"01-01-2023 : 25",153349
"01-01-2023 : 26",154731
"01-01-2023 : 27",158505
"01-01-2023 : 28",162540
"01-01-2023 : 29",165422
"01-01-2023 : 30",167530
"01-01-2023 : 31",170916
"01-01-2023 : 32",173213
"01-01-2023 : 33",175689
"01-01-2023 : 34",179211
"01-01-2023 : 35",181476
"01-01-2023 : 36",184412
"01-01-2023 : 37",186314
"01-01-2023 : 38",190011
"01-01-2023 : 39",192024
"01-01-2023 : 40",193162
"01-01-2023 : 41",193792
"01-01-2023 : 42",195113
"01-01-2023 : 43",194765
"01-01-2023 : 44",194828
"01-01-2023 : 45",194945
"01-01-2023 : 46",193319
"01-01-2023 : 47",192495
"01-01-2023 : 48",192092
"01-01-2023 : 49",192120
"01-01-2023 : 50",189708
"01-01-2023 : 51",189446
"01-01-2023 : 52",188652
"01-01-2023 : 53",187064
"01-01-2023 : 54",184872
"01-01-2023 : 55",183788
"01-01-2023 : 56",182744
"01-01-2023 : 57",181558
"01-01-2023 : 58",179776
"01-01-2023 : 59",179075
"01-01-2023 : 60",178637
"01-01-2023 : 61",177267
"01-01-2023 : 62",175078
"01-01-2023 : 63",174166
"01-01-2023 : 64",173254
"01-01-2023 : 65",173649
"01-01-2023 : 66",170138
"01-01-2023 : 67",169948
"01-01-2023 : 68",169750
"01-01-2023 : 69",168942
"01-01-2023 : 70",165519
"01-01-2023 : 71",165867
"01-01-2023 : 72",166230
"01-01-2023 : 73",168208
"01-01-2023 : 74",168124
"01-01-2023 : 75",169031
"01-01-2023 : 76",168498
"01-01-2023 : 77",167799
"01-01-2023 : 78",165536
"01-01-2023 : 79",163516
"01-01-2023 : 80",161760
"01-01-2023 : 81",159168
"01-01-2023 : 82",156435
"01-01-2023 : 83",155201
"01-01-2023 : 84",152432
"01-01-2023 : 85",150761
"01-01-2023 : 86",149757
"01-01-2023 : 87",147834
"01-01-2023 : 88",146439
"01-01-2023 : 89",143685
"01-01-2023 : 90",142745
"01-01-2023 : 91",141359
"01-01-2023 : 92",140538
"01-01-2023 : 93",138496
"01-01-2023 : 94",137034
"01-01-2023 : 95",135629
"01-01-2023 : 96",134188
"02-01-2023 : 1",133622
"02-01-2023 : 2",132654
"02-01-2023 : 3",131954
"02-01-2023 : 4",130827
"02-01-2023 : 5",130199
"02-01-2023 : 6",128869
"02-01-2023 : 7",128408
"02-01-2023 : 8",127891
"02-01-2023 : 9",127397
"02-01-2023 : 10",126396
"02-01-2023 : 11",126311
"02-01-2023 : 12",126425
"02-01-2023 : 13",125765
"02-01-2023 : 14",125834
"02-01-2023 : 15",126160
"02-01-2023 : 16",126324
"02-01-2023 : 17",126605
"02-01-2023 : 18",128248
"02-01-2023 : 19",129621
"02-01-2023 : 20",131841
"02-01-2023 : 21",134528
"02-01-2023 : 22",137587
"02-01-2023 : 23",141920
"02-01-2023 : 24",147328
"02-01-2023 : 25",150206
"02-01-2023 : 26",152840
"02-01-2023 : 27",157769
"02-01-2023 : 28",162544
"02-01-2023 : 29",167091
"02-01-2023 : 30",172059
"02-01-2023 : 31",175674
"02-01-2023 : 32",179402
"02-01-2023 : 33",181014
"02-01-2023 : 34",182921
"02-01-2023 : 35",185011
"02-01-2023 : 36",187242
"02-01-2023 : 37",189122
"02-01-2023 : 38",194118
"02-01-2023 : 39",196686
"02-01-2023 : 40",198741
"02-01-2023 : 41",199816
"02-01-2023 : 42",200220
"02-01-2023 : 43",200798
"02-01-2023 : 44",201060
"02-01-2023 : 45",200292
"02-01-2023 : 46",198358
"02-01-2023 : 47",198262
"02-01-2023 : 48",198466
"02-01-2023 : 49",199019
"02-01-2023 : 50",197912
"02-01-2023 : 51",197909
"02-01-2023 : 52",195921
